Symbol,MarketCap
NVDA,5201459675136
AAPL,4556898959360
GOOGL,4349323116544
GOOG,4309220851712
MSFT,3174467371008
AMZN,2689492582400
AVGO,2268995256320
TSLA,1591300194304
META,1581386956800
MU,1217467777024
BRK-B,1025303576576
LLY,961992785920
WMT,930219819008
AMD,884633436160
JPM,806131007488
ORCL,662439723008
XOM,632228806656
V,594104745984
INTC,566480470016
JNJ,537387106304
CSCO,498591465472
LRCX,429833748480
CAT,426591059968
COST,426585063424
MA,416653967360
AMAT,397591052288
ABBV,383623725056
CVX,377826017280
BAC,371861356544
NFLX,343264296960
UNH,342370418688
PLTR,340897759232
KO,338863521792
MS,331450646528
GE,328745222144
PG,326446317568
HD,312067620864
GS,307108642816
IBM,287257165824
MRK,283288862720
TXN,280845549568
KLAC,277597847552
PM,274212847616
DELL,273520197632
SNDK,271226388480
QCOM,263510540288
GEV,257799208960
WFC,240775708672
LIN,234673618944
RTX,232370225152
PANW,228550443008
C,221605609472
ANET,219561361408
ADI,213183397888
STX,212833107968
AXP,205086867456
WDC,204779110400
TMUS,196366041088
PEP,194843754496
VZ,194789834752
MCD,194174156800
APP,191764365312
CRWD,190294048768
AMGN,182540140544
APH,181607202816
NEE,176400498688
TMO,176129998848
TJX,174432813056
GLW,172781649920
DIS,172591874048
BA,166000705536
T,163633364992
ETN,163555835904
GILD,160150110208
DE,158801494016
CRM,156109586432
UNP,155630043136
BLK,153816694784
ABT,151520313344
SCHW,150591733760
IBKR,147825770496
UBER,145932091392
COP,145037901824
PFE,144423911424
ISRG,144246996992
HON,141469384704
WELL,140893454336
BX,134791053312
PLD,132891582464
BKNG,127684468736
VRT,127309021184
DHR,126039793664
SPGI,122037846016
NOW,121591218176
CB,121303244800
LMT,118055493632
MO,117393358848
CVS,116581482496
LOW,116430823424
NEM,114729893888
