year,quarter,label,n_obs,hedge_ratio,adf_stat,p_value,cointegrated
2018,Q1,2018 Q1,61,0.7533,-1.6666,0.4484,False
2018,Q2,2018 Q2,64,0.8241,-2.87,0.0489,True
2018,Q3,2018 Q3,63,1.1656,-2.5612,0.1013,False
2018,Q4,2018 Q4,63,1.074,-2.3349,0.161,False
2019,Q1,2019 Q1,61,0.6492,-3.6842,0.0043,True
2019,Q2,2019 Q2,63,0.4905,-0.8414,0.8067,False
2019,Q3,2019 Q3,64,0.5762,-1.5531,0.5071,False
2019,Q4,2019 Q4,64,0.7706,-2.0346,0.2716,False
2020,Q1,2020 Q1,62,1.0314,-1.9771,0.2967,False
2020,Q2,2020 Q2,63,0.9053,-1.7851,0.3879,False
2020,Q3,2020 Q3,64,0.678,-2.0767,0.254,False
2020,Q4,2020 Q4,64,1.106,-3.268,0.0164,True
2021,Q1,2021 Q1,61,1.3206,-1.2684,0.6435,False
2021,Q2,2021 Q2,63,1.1832,-3.4259,0.0101,True
2021,Q3,2021 Q3,64,0.7213,-1.8703,0.3462,False
2021,Q4,2021 Q4,64,0.6843,-1.769,0.3959,False
2022,Q1,2022 Q1,62,0.6541,-2.7164,0.0712,False
2022,Q2,2022 Q2,62,1.2394,-0.7968,0.8201,False
2022,Q3,2022 Q3,64,0.8624,-2.674,0.0786,False
2022,Q4,2022 Q4,63,1.0051,-1.9226,0.3215,False
2023,Q1,2023 Q1,62,0.8823,-1.9783,0.2962,False
2023,Q2,2023 Q2,62,0.9572,-2.8639,0.0497,True
2023,Q3,2023 Q3,63,0.7456,-2.5214,0.1104,False
2023,Q4,2023 Q4,63,0.7057,-2.7036,0.0734,False
2024,Q1,2024 Q1,61,1.2737,-2.5758,0.0981,False
2024,Q2,2024 Q2,63,1.029,-2.0555,0.2628,False
2024,Q3,2024 Q3,64,0.7839,-1.7565,0.4023,False
2024,Q4,2024 Q4,64,1.1291,-1.0467,0.7358,False
2025,Q1,2025 Q1,60,0.9927,-0.8066,0.8172,False
2025,Q2,2025 Q2,62,0.6715,-3.0701,0.0288,True
2025,Q3,2025 Q3,64,0.2891,-1.0861,0.7206,False
2025,Q4,2025 Q4,64,0.8295,-2.0339,0.2719,False
2026,Q1,2026 Q1,61,0.9579,-0.9464,0.7723,False
