year,quarter,label,n_obs,hedge_ratio,adf_stat,p_value,cointegrated
2018,Q1,2018 Q1,61,0.5906,-2.2296,0.1957,False
2018,Q2,2018 Q2,64,0.5472,-1.8932,0.3352,False
2018,Q3,2018 Q3,63,0.4117,-2.5546,0.1027,False
2018,Q4,2018 Q4,63,0.7824,-2.3793,0.1477,False
2019,Q1,2019 Q1,61,0.5263,-2.4619,0.125,False
2019,Q2,2019 Q2,63,0.1065,-3.5928,0.0059,True
2019,Q3,2019 Q3,64,0.7094,-2.6152,0.0899,False
2019,Q4,2019 Q4,64,-0.5892,-2.117,0.2377,False
2020,Q1,2020 Q1,62,0.6236,-2.2665,0.183,False
2020,Q2,2020 Q2,63,0.6626,-2.2073,0.2036,False
2020,Q3,2020 Q3,64,0.6314,-1.3808,0.5915,False
2020,Q4,2020 Q4,64,0.4191,-1.8164,0.3724,False
2021,Q1,2021 Q1,61,0.8985,-2.963,0.0385,True
2021,Q2,2021 Q2,63,0.7867,-2.3843,0.1462,False
2021,Q3,2021 Q3,64,0.2656,-2.2983,0.1725,False
2021,Q4,2021 Q4,64,0.997,-2.222,0.1984,False
2022,Q1,2022 Q1,62,1.4447,-1.332,0.6144,False
2022,Q2,2022 Q2,62,0.7441,-3.2172,0.019,True
2022,Q3,2022 Q3,64,0.7239,-0.5881,0.8736,False
2022,Q4,2022 Q4,63,1.1258,-1.3074,0.6258,False
2023,Q1,2023 Q1,62,1.1937,-1.8514,0.3553,False
2023,Q2,2023 Q2,62,0.6853,-3.3249,0.0138,True
2023,Q3,2023 Q3,63,0.5669,-1.626,0.4696,False
2023,Q4,2023 Q4,63,1.2931,-2.6875,0.0762,False
2024,Q1,2024 Q1,61,0.5872,-3.8279,0.0026,True
2024,Q2,2024 Q2,63,0.6209,-0.9771,0.7615,False
2024,Q3,2024 Q3,64,0.806,-1.597,0.4851,False
2024,Q4,2024 Q4,64,0.5615,-1.1519,0.6939,False
2025,Q1,2025 Q1,60,1.0695,-2.8074,0.0572,False
2025,Q2,2025 Q2,62,0.8888,-2.0773,0.2537,False
2025,Q3,2025 Q3,64,0.7055,-2.8727,0.0486,True
2025,Q4,2025 Q4,64,0.3268,-1.1425,0.6978,False
2026,Q1,2026 Q1,61,0.8104,-2.946,0.0403,True
