year,quarter,label,n_obs,hedge_ratio,adf_stat,p_value,cointegrated
2018,Q1,2018 Q1,61,1.1419,-1.0558,0.7324,False
2018,Q2,2018 Q2,64,1.2708,-3.5316,0.0072,True
2018,Q3,2018 Q3,63,1.0247,-2.49,0.1179,False
2018,Q4,2018 Q4,63,1.2054,-1.7452,0.408,False
2019,Q1,2019 Q1,61,1.2869,-1.764,0.3985,False
2019,Q2,2019 Q2,63,1.1558,-1.5339,0.5167,False
2019,Q3,2019 Q3,64,1.0582,-1.9071,0.3287,False
2019,Q4,2019 Q4,64,1.3903,-2.4237,0.1352,False
2020,Q1,2020 Q1,62,1.1879,-4.3462,0.0004,True
2020,Q2,2020 Q2,63,1.052,-3.5577,0.0066,True
2020,Q3,2020 Q3,64,1.6223,-1.4675,0.5495,False
2020,Q4,2020 Q4,64,0.9078,-1.9913,0.2904,False
2021,Q1,2021 Q1,61,1.3191,-3.068,0.029,True
2021,Q2,2021 Q2,63,0.1502,-1.7643,0.3983,False
2021,Q3,2021 Q3,64,1.1851,-3.0774,0.0283,True
2021,Q4,2021 Q4,64,0.5855,-1.9328,0.3168,False
2022,Q1,2022 Q1,62,1.0124,-0.6973,0.8475,False
2022,Q2,2022 Q2,62,1.0317,-1.4177,0.5738,False
2022,Q3,2022 Q3,64,1.139,-1.9781,0.2963,False
2022,Q4,2022 Q4,63,1.2229,-1.8204,0.3704,False
2023,Q1,2023 Q1,62,0.8613,-1.4158,0.5747,False
2023,Q2,2023 Q2,62,0.7384,-1.7534,0.4038,False
2023,Q3,2023 Q3,63,0.8048,-0.9928,0.7559,False
2023,Q4,2023 Q4,63,0.7944,-1.8922,0.3357,False
2024,Q1,2024 Q1,61,1.4815,-1.9315,0.3174,False
2024,Q2,2024 Q2,63,0.8968,-1.9952,0.2887,False
2024,Q3,2024 Q3,64,1.0465,-1.8969,0.3335,False
2024,Q4,2024 Q4,64,0.4179,-3.2876,0.0154,True
2025,Q1,2025 Q1,60,0.7561,-0.7968,0.8201,False
2025,Q2,2025 Q2,62,1.1565,-2.5349,0.1072,False
2025,Q3,2025 Q3,64,-0.1608,-1.3811,0.5913,False
2025,Q4,2025 Q4,64,0.9306,-4.974,0.0,True
2026,Q1,2026 Q1,61,1.0067,-2.8876,0.0468,True
