date,hedge_ratio,intercept,adf_stat,p_value,cointegrated
2020-01-02,0.7938,1.485,-1.807,0.377,False
2020-01-03,0.7925,1.4882,-1.8266,0.3673,False
2020-01-06,0.7911,1.4919,-1.8338,0.3638,False
2020-01-07,0.7898,1.4951,-1.8248,0.3682,False
2020-01-08,0.7881,1.4994,-1.9311,0.3176,False
2020-01-09,0.7867,1.5029,-1.8465,0.3576,False
2020-01-10,0.7855,1.506,-1.827,0.3671,False
2020-01-13,0.7845,1.5086,-1.8867,0.3383,False
2020-01-14,0.7835,1.5108,-1.9451,0.3111,False
2020-01-15,0.7827,1.5128,-2.0401,0.2693,False
2020-01-16,0.7818,1.515,-1.9989,0.2871,False
2020-01-17,0.78,1.5195,-1.9869,0.2924,False
2020-01-21,0.7784,1.5236,-1.9522,0.3079,False
2020-01-22,0.7769,1.5276,-1.9373,0.3147,False
2020-01-23,0.7753,1.5318,-1.8386,0.3615,False
2020-01-24,0.7733,1.537,-1.8392,0.3612,False
2020-01-27,0.7714,1.5422,-1.9389,0.314,False
2020-01-28,0.7696,1.5466,-2.0347,0.2716,False
2020-01-29,0.7679,1.551,-2.0096,0.2824,False
2020-01-30,0.7659,1.5564,-1.8173,0.3719,False
2020-01-31,0.7641,1.5611,-1.825,0.3681,False
2020-02-03,0.7622,1.5658,-1.8768,0.343,False
2020-02-04,0.7607,1.5698,-1.8806,0.3412,False
2020-02-05,0.7598,1.572,-1.8635,0.3494,False
2020-02-06,0.7591,1.5735,-1.8884,0.3376,False
2020-02-07,0.7581,1.5757,-1.868,0.3472,False
2020-02-10,0.7576,1.5768,-1.78,0.3904,False
2020-02-11,0.7575,1.5769,-2.0219,0.2771,False
2020-02-12,0.7573,1.577,-1.9979,0.2875,False
2020-02-13,0.7571,1.577,-2.0642,0.2592,False
2020-02-14,0.757,1.577,-2.0921,0.2477,False
2020-02-18,0.7568,1.5773,-2.3441,0.1582,False
2020-02-19,0.7568,1.5767,-2.4752,0.1216,False
2020-02-20,0.7568,1.5763,-2.5801,0.0972,False
2020-02-21,0.7565,1.5767,-2.6706,0.0793,False
2020-02-24,0.7563,1.5767,-2.7041,0.0733,False
2020-02-25,0.756,1.5771,-2.6725,0.0789,False
2020-02-26,0.7555,1.5779,-2.8266,0.0546,False
2020-02-27,0.7546,1.5799,-2.792,0.0594,False
2020-02-28,0.7539,1.5813,-2.8838,0.0473,True
2020-03-02,0.7535,1.5819,-2.943,0.0406,True
2020-03-03,0.7531,1.5826,-2.9314,0.0418,True
2020-03-04,0.7524,1.5838,-2.7181,0.071,False
2020-03-05,0.7516,1.5857,-2.7746,0.062,False
2020-03-06,0.7503,1.5889,-2.5216,0.1103,False
2020-03-09,0.7488,1.5926,-2.3677,0.1511,False
2020-03-10,0.7473,1.5962,-2.4503,0.128,False
2020-03-11,0.7452,1.6018,-2.0902,0.2485,False
2020-03-12,0.7434,1.6064,-1.8144,0.3733,False
2020-03-13,0.7417,1.6107,-2.2815,0.178,False
2020-03-16,0.7405,1.6134,-1.9854,0.293,False
2020-03-17,0.7392,1.6167,-2.2403,0.192,False
2020-03-18,0.7386,1.6177,-2.039,0.2697,False
2020-03-19,0.7382,1.6184,-2.2858,0.1766,False
2020-03-20,0.7378,1.6187,-2.0189,0.2784,False
2020-03-23,0.7372,1.62,-2.2914,0.1747,False
2020-03-24,0.736,1.6229,-2.1928,0.2089,False
2020-03-25,0.735,1.6251,-2.1432,0.2275,False
2020-03-26,0.7333,1.6294,-2.1269,0.2338,False
2020-03-27,0.732,1.6324,-1.9964,0.2881,False
2020-03-30,0.7307,1.6355,-2.1652,0.2191,False
2020-03-31,0.7297,1.6379,-2.3333,0.1615,False
2020-04-01,0.7292,1.6387,-2.174,0.2158,False
2020-04-02,0.7287,1.6395,-2.2142,0.2011,False
2020-04-03,0.7281,1.6405,-2.2125,0.2017,False
2020-04-06,0.727,1.6433,-2.1319,0.2319,False
2020-04-07,0.7259,1.6457,-2.2994,0.1722,False
2020-04-08,0.7252,1.6474,-2.6554,0.0821,False
2020-04-09,0.7242,1.6496,-2.7647,0.0635,False
2020-04-13,0.7233,1.6517,-2.6636,0.0806,False
2020-04-14,0.7222,1.6544,-2.5,0.1155,False
2020-04-15,0.7211,1.6568,-2.291,0.1749,False
2020-04-16,0.7202,1.659,-2.2998,0.172,False
2020-04-17,0.7188,1.6623,-2.1992,0.2065,False
2020-04-20,0.7177,1.665,-2.08,0.2526,False
2020-04-21,0.7174,1.6654,-2.1949,0.2081,False
2020-04-22,0.7167,1.667,-2.3125,0.168,False
2020-04-23,0.7161,1.6685,-2.2621,0.1845,False
2020-04-24,0.7156,1.6695,-2.3666,0.1514,False
2020-04-27,0.7151,1.6705,-2.3969,0.1426,False
2020-04-28,0.7145,1.6718,-2.3521,0.1557,False
2020-04-29,0.7141,1.6726,-2.4786,0.1208,False
2020-04-30,0.7138,1.673,-2.525,0.1095,False
2020-05-01,0.7136,1.673,-2.5953,0.094,False
2020-05-04,0.7136,1.6728,-2.7637,0.0636,False
2020-05-05,0.7135,1.6727,-2.7677,0.063,False
2020-05-06,0.7134,1.6724,-2.2475,0.1894,False
2020-05-07,0.7135,1.6718,-2.1602,0.221,False
2020-05-08,0.7135,1.6715,-2.1701,0.2173,False
2020-05-11,0.7134,1.6712,-2.2468,0.1897,False
2020-05-12,0.7132,1.6715,-2.2351,0.1937,False
2020-05-13,0.7131,1.6713,-2.3286,0.1629,False
2020-05-14,0.7129,1.6716,-2.581,0.097,False
2020-05-15,0.7127,1.6715,-2.5047,0.1143,False
2020-05-18,0.7127,1.6713,-2.4847,0.1192,False
2020-05-19,0.7129,1.6705,-2.6401,0.085,False
2020-05-20,0.7132,1.6695,-2.6538,0.0824,False
2020-05-21,0.7134,1.6688,-2.7654,0.0634,False
2020-05-22,0.7134,1.6686,-2.7964,0.0588,False
2020-05-26,0.7134,1.6684,-2.9339,0.0415,True
2020-05-27,0.7133,1.6683,-2.9652,0.0383,True
2020-05-28,0.7133,1.6682,-2.8767,0.0481,True
2020-05-29,0.7134,1.6676,-2.9622,0.0386,True
2020-06-01,0.7134,1.6672,-3.1165,0.0254,True
2020-06-02,0.7135,1.6666,-3.0417,0.0312,True
2020-06-03,0.7135,1.6663,-3.0699,0.0289,True
2020-06-04,0.7134,1.6664,-3.0692,0.0289,True
2020-06-05,0.7134,1.6661,-3.1924,0.0204,True
2020-06-08,0.7136,1.6653,-3.1642,0.0222,True
2020-06-09,0.7139,1.6641,-3.2031,0.0198,True
2020-06-10,0.7143,1.6626,-3.1004,0.0265,True
2020-06-11,0.7144,1.6617,-2.9618,0.0386,True
2020-06-12,0.7147,1.6605,-2.853,0.0511,False
2020-06-15,0.715,1.6593,-2.7579,0.0645,False
2020-06-16,0.7151,1.6585,-2.7124,0.0719,False
2020-06-17,0.7154,1.6572,-2.8449,0.0521,False
2020-06-18,0.7159,1.6555,-2.7881,0.06,False
2020-06-19,0.7165,1.6532,-2.8224,0.0551,False
2020-06-22,0.7173,1.6507,-2.8024,0.0579,False
2020-06-23,0.7178,1.6488,-2.8734,0.0485,True
2020-06-24,0.7184,1.6466,-2.8657,0.0495,True
2020-06-25,0.7188,1.645,-2.9186,0.0432,True
2020-06-26,0.7191,1.6437,-2.9253,0.0425,True
2020-06-29,0.7194,1.6426,-2.9519,0.0396,True
2020-06-30,0.7195,1.6421,-2.9982,0.0351,True
2020-07-01,0.7196,1.6414,-3.0811,0.028,True
2020-07-02,0.7197,1.6407,-3.1031,0.0263,True
2020-07-06,0.7202,1.639,-3.1891,0.0206,True
2020-07-07,0.7205,1.6379,-3.0305,0.0321,True
2020-07-08,0.7207,1.6369,-3.0372,0.0316,True
2020-07-09,0.721,1.6358,-3.1271,0.0246,True
2020-07-10,0.721,1.6355,-3.0866,0.0276,True
2020-07-13,0.7209,1.6352,-3.0623,0.0295,True
