date,hedge_ratio,intercept,adf_stat,p_value,cointegrated
2019-01-02,0.5744,2.5023,-1.8776,0.3427,False
2019-01-03,0.5766,2.492,-1.7216,0.42,False
2019-01-04,0.5777,2.4868,-1.8824,0.3404,False
2019-01-07,0.5783,2.4841,-1.9571,0.3057,False
2019-01-08,0.5779,2.4854,-1.9108,0.327,False
2019-01-09,0.5781,2.4844,-2.0401,0.2693,False
2019-01-10,0.5783,2.4829,-2.0369,0.2706,False
2019-01-11,0.5783,2.4828,-2.0208,0.2775,False
2019-01-14,0.5782,2.4831,-1.912,0.3264,False
2019-01-15,0.578,2.4834,-1.8973,0.3333,False
2019-01-16,0.5781,2.4829,-1.9979,0.2875,False
2019-01-17,0.5782,2.4821,-1.9722,0.2989,False
2019-01-18,0.5778,2.4836,-2.0086,0.2828,False
2019-01-22,0.5777,2.484,-2.0396,0.2695,False
2019-01-23,0.5772,2.4859,-2.0267,0.275,False
2019-01-24,0.5767,2.4883,-2.0689,0.2572,False
2019-01-25,0.5753,2.494,-2.0814,0.2521,False
2019-01-28,0.5742,2.4988,-2.1033,0.2432,False
2019-01-29,0.5727,2.5052,-2.06,0.2609,False
2019-01-30,0.5714,2.5108,-2.0392,0.2697,False
2019-01-31,0.5705,2.5145,-2.0521,0.2642,False
2019-02-01,0.5697,2.5182,-2.0491,0.2655,False
2019-02-04,0.5689,2.5214,-2.0413,0.2688,False
2019-02-05,0.5688,2.5221,-2.1151,0.2385,False
2019-02-06,0.5688,2.5221,-1.956,0.3062,False
2019-02-07,0.5688,2.5221,-1.9446,0.3114,False
2019-02-08,0.5687,2.5225,-2.0156,0.2798,False
2019-02-11,0.5681,2.525,-1.9743,0.2979,False
2019-02-12,0.5675,2.5275,-1.9939,0.2892,False
2019-02-13,0.567,2.5299,-1.9653,0.302,False
2019-02-14,0.566,2.5343,-1.9491,0.3093,False
2019-02-15,0.5653,2.5375,-1.9637,0.3027,False
2019-02-19,0.5642,2.5424,-1.9155,0.3248,False
2019-02-20,0.5627,2.5489,-1.8885,0.3375,False
2019-02-21,0.5613,2.5552,-1.9314,0.3174,False
2019-02-22,0.5596,2.5627,-1.9091,0.3278,False
2019-02-25,0.558,2.5698,-1.8382,0.3617,False
2019-02-26,0.5559,2.5788,-1.7818,0.3895,False
2019-02-27,0.551,2.6003,-1.4742,0.5462,False
2019-02-28,0.548,2.6133,-1.6859,0.4384,False
2019-03-01,0.5459,2.6224,-1.738,0.4116,False
2019-03-04,0.5437,2.6319,-1.7098,0.4261,False
2019-03-05,0.5423,2.6379,-1.7504,0.4053,False
2019-03-06,0.5419,2.6391,-1.7801,0.3904,False
2019-03-07,0.5415,2.6406,-1.7512,0.405,False
2019-03-08,0.5413,2.6415,-1.745,0.4081,False
2019-03-11,0.5406,2.6442,-1.7827,0.3891,False
2019-03-12,0.5409,2.6427,-1.7688,0.3961,False
2019-03-13,0.54,2.6466,-1.7027,0.4297,False
2019-03-14,0.5395,2.6486,-1.7253,0.4181,False
2019-03-15,0.5389,2.6511,-1.7818,0.3896,False
2019-03-18,0.5386,2.6524,-1.7551,0.403,False
2019-03-19,0.5374,2.6573,-1.7207,0.4205,False
2019-03-20,0.5365,2.661,-1.7944,0.3833,False
2019-03-21,0.536,2.663,-1.8089,0.3761,False
2019-03-22,0.5351,2.6673,-1.81,0.3755,False
2019-03-25,0.5335,2.674,-1.8147,0.3732,False
2019-03-26,0.5312,2.6842,-1.8273,0.367,False
2019-03-27,0.5282,2.6972,-1.7633,0.3988,False
2019-03-28,0.5255,2.7095,-1.7599,0.4006,False
2019-03-29,0.5229,2.7208,-1.7743,0.3933,False
2019-04-01,0.5225,2.7227,-1.8642,0.3491,False
2019-04-02,0.5203,2.7324,-1.8491,0.3564,False
2019-04-03,0.5189,2.7383,-1.8697,0.3464,False
2019-04-04,0.5183,2.741,-1.8667,0.3479,False
2019-04-05,0.5181,2.742,-1.8973,0.3333,False
2019-04-08,0.5168,2.7479,-1.873,0.3449,False
2019-04-09,0.5154,2.7542,-1.8955,0.3342,False
2019-04-10,0.513,2.765,-1.9007,0.3317,False
2019-04-11,0.5108,2.775,-1.907,0.3288,False
2019-04-12,0.5092,2.782,-1.9061,0.3292,False
2019-04-15,0.5078,2.7886,-1.8691,0.3467,False
2019-04-16,0.5069,2.7924,-1.8658,0.3483,False
2019-04-17,0.5071,2.7916,-1.8314,0.365,False
