date,hedge_ratio,intercept,adf_stat,p_value,cointegrated
2020-01-02,1.2299,-0.7288,-3.8281,0.0026,True
2020-01-03,1.2287,-0.7224,-3.8975,0.0021,True
2020-01-06,1.2276,-0.7169,-3.8223,0.0027,True
2020-01-07,1.2267,-0.7124,-3.8713,0.0023,True
2020-01-08,1.2257,-0.7071,-3.9821,0.0015,True
2020-01-09,1.2247,-0.7022,-4.1119,0.0009,True
2020-01-10,1.2239,-0.6981,-3.943,0.0017,True
2020-01-13,1.2232,-0.6947,-4.0721,0.0011,True
2020-01-14,1.2221,-0.6889,-4.3766,0.0003,True
2020-01-15,1.2207,-0.6821,-4.4666,0.0002,True
2020-01-16,1.2196,-0.6767,-4.481,0.0002,True
2020-01-17,1.2182,-0.6694,-4.5659,0.0001,True
2020-01-21,1.2161,-0.659,-4.1876,0.0007,True
2020-01-22,1.2143,-0.6502,-4.2164,0.0006,True
2020-01-23,1.2128,-0.6426,-4.3357,0.0004,True
2020-01-24,1.2113,-0.6351,-4.3453,0.0004,True
2020-01-27,1.2097,-0.6269,-4.268,0.0005,True
2020-01-28,1.2084,-0.6201,-4.2628,0.0005,True
2020-01-29,1.2067,-0.612,-4.0511,0.0012,True
2020-01-30,1.2049,-0.6028,-3.4294,0.01,True
2020-01-31,1.2039,-0.5977,-3.3535,0.0126,True
2020-02-03,1.2034,-0.595,-3.418,0.0104,True
2020-02-04,1.203,-0.5931,-3.4036,0.0108,True
2020-02-05,1.2032,-0.5941,-3.3814,0.0116,True
2020-02-06,1.2037,-0.5964,-3.3669,0.0121,True
2020-02-07,1.2038,-0.597,-3.3973,0.0111,True
2020-02-10,1.2037,-0.5965,-3.4384,0.0097,True
2020-02-11,1.2042,-0.5989,-3.3664,0.0122,True
2020-02-12,1.2045,-0.6002,-3.4106,0.0106,True
2020-02-13,1.2048,-0.6015,-3.4096,0.0106,True
2020-02-14,1.2053,-0.6041,-3.4052,0.0108,True
2020-02-18,1.2054,-0.6048,-3.4248,0.0101,True
2020-02-19,1.2054,-0.6048,-3.4342,0.0098,True
2020-02-20,1.2059,-0.6071,-3.395,0.0111,True
2020-02-21,1.2063,-0.6092,-3.3856,0.0115,True
2020-02-24,1.207,-0.6124,-3.3282,0.0137,True
2020-02-25,1.2075,-0.615,-3.3307,0.0136,True
2020-02-26,1.2077,-0.6159,-3.3684,0.0121,True
2020-02-27,1.2078,-0.6165,-3.3423,0.0131,True
2020-02-28,1.208,-0.6175,-3.3402,0.0132,True
2020-03-02,1.2081,-0.6182,-3.4546,0.0092,True
2020-03-03,1.2084,-0.6194,-3.5261,0.0073,True
2020-03-04,1.2084,-0.6194,-3.5802,0.0062,True
2020-03-05,1.2087,-0.6211,-3.5842,0.0061,True
2020-03-06,1.2092,-0.6235,-3.5829,0.0061,True
2020-03-09,1.2097,-0.6262,-3.602,0.0057,True
2020-03-10,1.21,-0.6277,-3.5812,0.0061,True
2020-03-11,1.2106,-0.6306,-3.6342,0.0051,True
2020-03-12,1.211,-0.6329,-3.6045,0.0057,True
2020-03-13,1.2114,-0.635,-3.6165,0.0055,True
2020-03-16,1.212,-0.6377,-3.9239,0.0019,True
2020-03-17,1.2124,-0.6402,-3.9168,0.0019,True
2020-03-18,1.2128,-0.6419,-3.9326,0.0018,True
2020-03-19,1.2133,-0.6445,-3.6233,0.0053,True
2020-03-20,1.2138,-0.6473,-3.6424,0.005,True
2020-03-23,1.2141,-0.6488,-3.8512,0.0024,True
2020-03-24,1.2148,-0.6521,-3.8018,0.0029,True
2020-03-25,1.2159,-0.6579,-3.6378,0.0051,True
2020-03-26,1.2168,-0.6622,-3.5585,0.0066,True
2020-03-27,1.2178,-0.6675,-3.5535,0.0067,True
2020-03-30,1.2187,-0.6716,-3.3826,0.0116,True
2020-03-31,1.2194,-0.6754,-3.4457,0.0095,True
2020-04-01,1.22,-0.6787,-3.4154,0.0104,True
2020-04-02,1.2206,-0.6814,-3.443,0.0096,True
2020-04-03,1.2211,-0.6837,-3.3582,0.0125,True
2020-04-06,1.2217,-0.687,-3.3878,0.0114,True
2020-04-07,1.2223,-0.6901,-3.9767,0.0015,True
2020-04-08,1.2227,-0.6921,-3.93,0.0018,True
2020-04-09,1.2233,-0.695,-3.9609,0.0016,True
2020-04-13,1.2238,-0.6978,-3.9524,0.0017,True
2020-04-14,1.2243,-0.7002,-3.921,0.0019,True
2020-04-15,1.2249,-0.703,-3.9233,0.0019,True
2020-04-16,1.225,-0.7035,-3.9305,0.0018,True
2020-04-17,1.2252,-0.7048,-3.9362,0.0018,True
2020-04-20,1.2255,-0.7061,-3.9403,0.0018,True
2020-04-21,1.2258,-0.7078,-3.9638,0.0016,True
2020-04-22,1.2259,-0.708,-3.9838,0.0015,True
2020-04-23,1.2256,-0.7065,-3.9836,0.0015,True
2020-04-24,1.2258,-0.7078,-4.0032,0.0014,True
2020-04-27,1.2259,-0.7083,-3.9988,0.0014,True
2020-04-28,1.2254,-0.7057,-3.9945,0.0014,True
2020-04-29,1.2248,-0.7025,-3.9944,0.0014,True
2020-04-30,1.2241,-0.6993,-3.9811,0.0015,True
2020-05-01,1.2236,-0.6967,-3.9607,0.0016,True
2020-05-04,1.2241,-0.6992,-4.0151,0.0013,True
2020-05-05,1.2245,-0.7011,-4.0261,0.0013,True
2020-05-06,1.2247,-0.7024,-4.0066,0.0014,True
2020-05-07,1.2247,-0.7024,-3.9697,0.0016,True
2020-05-08,1.2247,-0.7022,-3.9676,0.0016,True
2020-05-11,1.2245,-0.7016,-3.9654,0.0016,True
2020-05-12,1.2246,-0.7022,-3.9046,0.002,True
2020-05-13,1.2247,-0.7025,-3.9168,0.0019,True
2020-05-14,1.2247,-0.7027,-3.9723,0.0016,True
2020-05-15,1.2245,-0.702,-3.9294,0.0018,True
2020-05-18,1.2241,-0.6997,-3.7393,0.0036,True
2020-05-19,1.224,-0.6994,-4.0038,0.0014,True
